耀|yao4|1208
枅|ji1|2
涉|she4|721
谈|tan2|3289
玍|ga3|1
鈌|jue2|2
唎|li4|2
禑|wu2|1
預|yu4|53
羕|yang4|3
讝|zhan2|1
醡|zha4|2
咣|guang1|9
猢|hu2|13
媧|wa1|1
礦|kuang4|1
鶩|wu4|1
悫|que4|24
暯|mo4|1
蔮|guo2|1
河|he2|13129
临|lin2|5266
犷|guang3|21
鄶|kuai4|1
吸|xi1|2371
霺|wei2|1
娼|chang1|62
鴾|mou2|1
恀|shi4|1
蓃|sou1|1
晄|huang3|1
談|tan2|2
汈|diao1|1
郋|xi2|3
牌|pai2|1707
姑|gu1|1137
鳓|le4|35
織|zhi1|7
旙|fan1|1
葘|zi1|2
毝|cai3|1
詜|tao1|1
燡|yi4|2
遠|yuan3|14
奦|wu4|1
緩|huan3|6
鱨|chang2|2
彪|biao1|311
敮|xia2|1
觱|bi4|22
迵|dong4|3
煶|shi|1
壻|xu4|4
睺|hou2|17
鯽|zei2|1
廿|nian4|124
絾|cheng2|1
搃|zong3|1
莂|bie2|3
樇|xiu1|1
覆|fu4|1413
瀋|shen3|3
辊|gun3|1063
劌|gui4|1
瘏|tu2|5
閎|hong2|1
簓|diao|1
鮒|fu4|1
舗|pu4|1
蠛|mie4|9
踟|chi2|92
儡|lei3|95
炠|xia2|1
鐣|zhang|1
圥|lu4|6
皤|po2|47
騧|gua1|17
崩|beng1|490
粨|bai3|1
挭|geng3|28
芬|fen1|1833
椱|fu4|1
漵|xu4|1
躴|lang2|2
冶|ye3|1572
甹|ping1|2
钸|bu4|1
笽|min|1
骼|ge2|57
嶾|yin3|2
腁|pian2|1
蝅|can2|1
赉|lai4|64
偋|bing4|1
鍍|du4|1
噏|xi1|12
痎|jie1|4
屓|xie4|1
篒|shi|1
齕|he2|4
扗|zai4|1
臖|xing4|1
蟚|peng2|1
僠|bo1|1
瑣|suo3|1
鏢|biao1|1
囤|tun2|35
駦|teng2|1
聫|lian2|1
括|kuo4|356
虯|qiu2|2
豳|bin1|41
併|bing4|26
鉷|hong2|1
须|xu1|3649
孽|nie4|216
竼|peng2|1
贈|zeng4|11
錌|an4|1
后|hou4|11800
碑|bei1|1168
鼔|gu3|1
怖|bu4|274
昚|shen4|5
誝|an1|1
氞|bin|1
邡|fang1|10
爢|mi2|4
隥|deng4|2
宧|yi2|5
砦|zhai4|13
鲩|huan4|15
憫|min3|1
縪|bi4|1
枯|ku1|1072
萮|yu2|10
訲|yi4|1
玷|dian4|76
逶|wei1|136
离|li2|6252
阺|di3|1
嬼|liu3|1
羿|yi4|63
鰾|biao4|1
藃|xiao1|1
杄|qian1|4
诇|xiong4|4
浈|zhen1|17
勍|qing2|18
獌|man4|1
壑|he4|519
祐|you4|123
鷓|zhe4|2
廕|yin4|1
罔|wang3|102
擙|ao4|1
櫝|du2|1
譜|pu3|3
烡|guang1|1
酠|qia3|1
盥|guan4|54
靤|bao4|1
塦|zhen4|1
糩|kuai4|1
鵨|shu1|1
幪|meng2|7
苭|yao3|1
裱|biao3|35
橲|xi|1
軵|rong3|1
灶|zao4|612
铹|lao2|1
姻|yin1|317
発|fa1|1
髽|zhua1|7
忿|fen4|80
籾|ni2|1
欇|she4|1
焋|zhuang4|1
躊|chou2|1
钎|qian1|153
妐|zhong1|1
紓|shu1|1
骒|ke4|2
徔|zhi|1
茗|ming2|801
斘|sheng1|1
殜|die2|1
輟|chuo4|1
熠|yi4|71
锣|luo2|209
嘥|sai|5
瞤|shun4|2
鬧|nao4|2
尩|wang1|1
綨|qi2|1
莬|wen4|1
栱|gong3|16
覰|qu1|1
渵|mao2|1
傶|zu2|1
琹|qin2|2
閸|kun3|1
嚺|ta4|1
鮼|qin1|1
虅|teng|2
棆|lun2|2
豉|chi3|77
克|ke4|11671
瓎|la4|3
嵓|yan2|6
竒|qi2|1
鹕|hu2|10
蛚|lie4|3
潟|xi4|4
賞|shang3|5
畣|da2|2
鋢|lue4|1
埤|pi2|16
飦|zhan1|1
腫|zhong3|1
黪|can3|8
揬|tu2|1
蝯|yuan2|2
槰|peng2|1
赳|jiu1|34
乵|yan3|1
濴|ying2|1
鍷|kui2|1
呹|yi4|1
痸|chi4|1
饻|xi1|1
婽|jia3|1
篼|dou1|7
齿|chi3|3729
掁|cheng2|7
舀|yao3|14
斅|xiao4|10
踈|shu1|1
熍|qiong|1
逌|you1|5
圎|yuan2|1
騐|yan4|1
夒|nao2|1
綕|zhi1|1
挖|wa1|429
螙|du4|1
攚|ying|1
覝|lian2|1
漞|mi4|1
鎡|zi1|2
嚣|xiao1|127
焢|hong1|1
閥|fa2|1
墧|que4|1
符|fu2|3341
披|pi1|1488
撯|zhuo2|1
蜮|yu4|22
溳|yun2|3
褲|ku4|13
炷|zhu4|54
錶|biao3|5
窻|chuang1|2
锺|zhong1|117
鼾|han1|33
蛃|bing3|7
裇|xu1|5
湈|mei2|1
鋋|chan2|25
凍|dong4|2
铏|xing2|4
寑|qin3|1
穐|qiu1|1
黓|yi4|1
巕|nie|1
柙|xia2|13
虘|cuo2|1
槝|dao|1
衜|dao4|1
佞|ning4|95
珡|qin2|1
鉠|yang1|2
兢|jing1|65
痥|duo2|1
鑤|bao4|1
翩|pian1|395
鹨|liu4|2
嵪|qiao1|1
杮|fei4|2
诱|you4|643
仳|pi3|6
楲|wei1|1
践|jian4|508
僷|ye4|1
嫻|xian2|1
畺|jiang1|1
駽|xuan1|2
罾|zeng1|25
昃|ze4|23
标|biao1|5011
讆|wei4|1
爋|xun4|4
越|yue4|3078
傌|ma4|1
琏|lian3|55
鞎|hen2|1
媐|yi2|1
縓|quan2|2
馒|man2|52
