禁|jin4|134
禁|jin1|27
退|tui|3
退|tui1|1
退|tui4|260
璃|li2|32
璃|li|30
待|dai4|205
待|dai1|6
合|ge3|4
合|he2|874
合|he|2
缊|yun1|5
缊|yun4|4
沓|ta4|24
沓|ta|1
沓|da2|3
沓|ta3|1
了|liao3|185
了|le|114
渔|yu3|3
渔|yu2|74
外|wai|7
外|wai4|747
蜚|fei1|13
蜚|fei3|4
娜|nuo2|21
娜|na4|32
答|da1|40
答|da2|64
答|da|2
被|bei4|126
被|pi1|12
被|chuang2|2
缪|mou2|6
缪|miu4|14
缪|mu2|2
般|pan2|6
般|ban1|59
般|bo1|4
咳|hai1|9
咳|ke2|22
徵|zheng1|3
徵|zhi3|3
俟|qi2|4
俟|si4|16
方|fang1|740
方|fang|9
簸|bo3|12
簸|bo4|4
伺|ci4|4
伺|si4|36
稼|jia4|15
稼|jia|5
贾|gu3|22
贾|jia3|43
贾|jia4|1
见|xian4|25
见|jian1|1
见|jian4|567
血|xue3|5
血|xie3|34
血|xue4|435
鹄|gu3|5
鹄|hu2|66
藉|jie4|40
藉|ji2|11
坊|fang2|22
坊|fang1|35
坊|fang|2
剌|la4|22
剌|la2|5
济|ji4|240
济|ji3|28
济|ji|2
卒|zu2|44
卒|cu4|6
卒|fu2|2
拗|niu4|12
拗|ao4|10
拗|ao3|3
泣|qi4|62
泣|qi3|4
知|zhi4|10
知|zhi1|536
知|shi4|1
拧|ning3|7
拧|ning2|3
叭|ba|12
叭|ba1|16
马|ma3|1315
马|mei2|1
马|ma2|4
奶|nai|8
奶|nai3|113
闹|nao4|108
闹|nao|7
闹|nao1|2
厕|si|4
厕|ce4|21
绿|lv|2
绿|lv4|137
绿|lu4|73
调|tiao2|365
调|diao4|246
的|di4|74
的|de|247
的|di1|4
的|di2|27
切|qie4|141
切|qie1|268
什|shi2|137
什|shi|2
什|shen2|34
沈|shen3|101
沈|chen2|4
踏|ta4|82
踏|ta1|10
氓|meng2|4
氓|mang2|11
观|guan1|309
观|guan4|8
观|guang1|1
缕|lv4|1
缕|lu3|9
缕|lv3|31
应|ying1|74
应|ying4|648
戗|qiang4|4
戗|qiang1|3
粘|zhan1|17
粘|nian2|88
渟|ting1|4
渟|ting2|6
渟|zi1|1
会|hui4|932
会|kuai4|48
会|dai4|1
会|kuan4|1
缥|piao3|4
缥|piao1|4
纤|qian4|12
纤|xian1|98
数|shu4|678
数|shu2|1
数|shu3|113
数|shuo4|8
数|shu|2
鸯|yang1|12
鸯|yang|3
脱|tuo1|240
脱|tui4|4
朵|duo3|30
朵|duo|6
暴|pu4|10
暴|bao4|179
爷|ye2|73
爷|ye|15
阿|a1|250
阿|a|437
阿|e1|77
阿|e|1
筠|jun1|4
筠|yun2|4
呃|e4|4
呃|e|4
毂|gu3|13
毂|gu1|14
扇|shan4|72
扇|shan1|24
哈|ha1|229
哈|ha|4
哈|ha4|4
哈|ha3|24
神|shen|4
神|shen1|2
神|shen2|897
蛸|xiao1|6
蛸|shao1|6
仔|zai3|48
仔|zi2|1
仔|zi3|16
仔|zi1|2
教|jiao4|462
教|jiao1|18
教|jian4|1
擘|bai1|3
擘|bo2|1
擘|bo4|12
遛|liu2|5
遛|liu4|8
柚|zhou2|6
柚|you4|5
柚|you2|2
来|lai2|666
来|lai|10
滤|lv4|54
滤|lu4|11
峨|e|8
峨|e2|19
火|huo4|2
火|huo1|4
火|huo3|808
景|ying3|4
景|jing3|235
差|chai1|76
差|ci1|8
差|cha1|173
差|cha4|96
场|chang3|464
场|chang2|33
场|chang|2
痒|yang2|2
痒|yang3|55
痒|yang|4
更|geng1|202
更|geng4|34
偻|lou2|5
偻|lv3|6
荽|sui1|4
荽|sui|3
闾|lu2|6
闾|lu3|1
闾|lv3|4
闾|lv2|14
梁|liang2|166
梁|liang|4
吁|xu1|20
吁|yu4|13
著|zhuo2|14
著|zhe|4
著|zhu4|112
掇|duo1|14
掇|duo|3
钉|ding1|64
钉|ding|2
钉|ding4|14
煞|sha1|13
煞|sha4|45
上|shang3|8
上|shang|29
上|shang4|1007
犍|jian1|5
犍|qian2|4
萎|wei3|42
萎|wei1|4
划|hua2|52
划|hua4|95
划|ji2|2
栖|xi1|6
栖|qi1|55
蒙|meng1|32
蒙|meng2|154
蒙|meng3|52
蒙|meng|1
茜|qian4|7
茜|xi1|3
辟|bi4|16
辟|pi4|29
股|gu3|140
股|gu|9
撩|liao2|40
撩|liao1|3
个|ge3|4
个|ge|40
个|ge4|176
侯|hou4|32
侯|hou2|37
袱|fu2|12
袱|fu|4
喳|cha1|6
喳|zha1|12
朴|po4|10
朴|pu3|41
朴|piao2|36
朴|po1|2
耶|ye1|99
耶|ye2|4
耶|ye|2
为|wei4|56
为|wei2|1035
笼|long3|10
笼|long2|66
笼|long|2
便|bian2|1
便|bian4|155
便|pian2|23
尾|wei3|238
尾|yi3|8
兀|wu1|12
兀|wu4|14
雅|ya1|2
雅|ya3|235
雅|ya2|6
菇|gu1|19
菇|gu|3
蹊|xi1|14
蹊|qi1|9
柏|bo2|43
柏|bai3|50
柏|bo4|6
腐|fu3|110
腐|fu|16
扒|pa2|16
扒|ba1|22
绕|rao3|6
绕|rao4|69
峙|zhi4|23
峙|shi4|4
槛|kan3|8
槛|jian4|16
虚|xiu4|3
虚|xu1|255
卜|bu3|85
卜|bo|29
翟|di2|3
翟|zhai2|4
属|zhu3|20
属|shu2|1
属|shu3|172
明|jing2|1
明|ming2|812
明|ming|8
强|jiang4|18
强|jiang1|1
强|qiang2|333
强|qiang3|75
以|yi|3
以|yi3|590
以|yi2|1
彤|tong2|8
彤|tong1|3
哩|li|14
哩|li1|12
哩|li3|6
棱|ling2|2
棱|leng1|8
棱|leng2|44
色|se4|726
色|shai3|22
轴|zhou2|121
轴|zhou4|14
号|hao2|40
号|hao4|368
号|hao|2
恶|er4|1
恶|e|1
恶|wu4|57
恶|le4|1
恶|e4|308
恶|e3|4
虺|hui3|8
虺|hui1|4
拽|zhuai1|8
拽|zhuai4|16
态|tai4|210
态|tai|8
膀|bang4|2
膀|bang3|15
膀|pang2|12
节|jie|2
节|jie1|10
节|jie2|487
澄|deng1|2
澄|deng|6
澄|cheng2|30
澄|deng4|6
指|zhi|2
指|zhi3|400
指|zhi2|4
领|ling3|195
领|ling2|5
尉|wei4|28
尉|yu4|8
舍|she4|173
舍|she3|76
舍|she|1
式|shi|6
式|shi4|362
瀑|pu4|11
瀑|bao4|6
候|hou4|104
候|hou|10
蔓|man2|2
蔓|man4|26
蔓|wan4|12
北|bei1|4
北|bei2|1
北|bei3|492
肖|xiao4|17
肖|xiao1|15
弟|di4|124
弟|ti4|4
弟|di|4
倡|chang1|4
倡|chang4|26
冠|guan1|128
冠|guan4|106
抢|qiang1|14
抢|qiang3|75
谩|man2|3
谩|man4|10
涨|zhang3|26
涨|zhang4|10
夫|fu2|6
夫|fu|28
夫|fu1|406
术|shu4|298
术|zhu2|4
劲|jin4|123
劲|jing4|58
土|gu3|1
土|tu2|6
土|tu3|551
土|yu4|1
土|shui3|1
伯|bo1|1
伯|bo2|225
伯|bo|4
伯|bai3|2
伯|ba4|1
吹|chui4|2
吹|chui1|163
吹|chui2|5
人|en2|1
人|ren2|2892
人|ren|10
人|quan2|1
人|ren4|1
桁|heng2|5
桁|hang2|4
堡|pu4|16
堡|bao3|62
堡|bu3|4
堡|pu3|1
蕃|fan1|6
蕃|bo1|4
蕃|fan2|4
拂|bi4|6
拂|fu2|27
俄|e|37
俄|e2|31
菲|fei1|59
菲|fei3|18
囊|nang2|130
囊|nang1|16
囊|nang|2
菌|jun1|170
菌|jun4|16
姐|jie|15
姐|jie3|43
塞|se4|112
塞|sai1|132
塞|sai4|66
勒|le1|1
勒|lei1|14
勒|le4|233
晕|yun1|43
晕|yun4|45
埔|bu4|24
埔|pu3|14
南|nan2|698
南|na1|3
胖|pang4|23
胖|pan2|4
胖|pang2|2
几|ji3|124
几|ji1|57
散|san4|229
散|san3|112
散|san|1
迤|yi3|4
迤|yi2|4
烦|fan2|80
烦|fan|6
摩|ma1|4
摩|mo2|176
门|ge2|1
门|kou3|8
门|men|2
门|men1|2
门|men2|1033
召|shao4|4
召|zhao4|39
召|zhao1|1
泊|bo2|72
泊|po1|9
哮|xiao4|10
哮|xiao1|3
称|cheng4|2
称|chen4|70
称|cheng1|184
卷|juan4|191
卷|juan3|91
宁|ning2|279
宁|ning4|29
鄂|e4|13
鄂|e|13
萄|tao|6
萄|tao2|29
而|e2|1
而|er2|663
而|er|3
嚓|ca1|4
嚓|cha1|8
闷|men4|55
闷|men1|12
化|hua4|1020
化|hua1|8
傅|fu4|22
傅|fu3|1
傅|fu1|6
媛|yuan2|6
媛|yuan4|7
蔚|wei4|23
蔚|yu4|6
管|guan2|6
管|guan3|727
浪|lang2|8
浪|lang4|191
眄|mian3|9
眄|mian4|8
芫|yuan2|8
芫|yan2|5
水|qiu1|1
水|shu3|2
水|shui2|2
水|shui3|1708
水|hui3|1
水|shui|5
月|rou4|4
月|yue|2
月|yue4|709
边|bian1|337
边|bian|20
游|you|3
游|you2|367
游|you1|1
町|ding1|6
町|ting1|2
町|ting3|6
格|ge2|450
格|ge1|8
旅|lu3|32
旅|lv3|80
么|me|60
么|mo3|13
么|mo2|2
种|zhong3|227
种|zhong4|89
行|hang4|2
行|hang2|336
行|heng2|2
行|xing2|1160
行|xing4|2
李|li3|244
李|li|13
发|fa|5
发|fa1|867
发|fei4|1
发|fa4|326
结|ji4|2
结|jie1|18
结|jie2|416
蠡|li2|9
蠡|li3|10
这|zhe4|69
这|zhei4|4
鹘|gu3|3
鹘|gu2|1
鹘|hu2|8
嘎|ga3|2
嘎|ga2|4
嘎|ga1|36
溺|niao4|4
溺|ni4|31
汤|tang1|161
汤|shang1|16
惧|ju3|4
惧|ju4|31
矩|ju|6
矩|ju3|68
苫|shan4|6
苫|shan1|11
番|fan1|63
番|pan1|6
